,created_at,temperature,humidity,rolling_temp
0,2026-04-26T00:00:00.000,19.8,64,
1,2026-04-26T00:00:00.000,19.8,64,
2,2026-04-26T00:00:00.000,19.8,64,
3,2026-04-26T00:00:00.000,19.8,64,
4,2026-04-26T01:00:00.000,19.2,67,19.68
5,2026-04-26T01:00:00.000,19.2,67,19.560000000000002
6,2026-04-26T01:00:00.000,19.2,67,19.439999999999998
7,2026-04-26T01:00:00.000,19.2,67,19.32
11,2026-04-26T02:00:00.000,18.9,67,19.139999999999997
10,2026-04-26T02:00:00.000,18.9,67,19.08
8,2026-04-26T02:00:00.000,18.9,67,19.02
9,2026-04-26T02:00:00.000,18.9,67,18.96
12,2026-04-26T03:00:00.000,18.2,64,18.759999999999998
13,2026-04-26T03:00:00.000,18.2,64,18.619999999999997
14,2026-04-26T03:00:00.000,18.2,64,18.479999999999997
15,2026-04-26T03:00:00.000,18.2,64,18.34
16,2026-04-26T04:00:00.000,18.2,66,18.2
17,2026-04-26T04:00:00.000,18.2,66,18.2
18,2026-04-26T04:00:00.000,18.2,66,18.2
19,2026-04-26T04:00:00.000,18.2,66,18.2
23,2026-04-26T05:00:00.000,18.9,63,18.339999999999996
22,2026-04-26T05:00:00.000,18.9,63,18.479999999999997
20,2026-04-26T05:00:00.000,18.9,63,18.619999999999997
21,2026-04-26T05:00:00.000,18.9,63,18.759999999999998
24,2026-04-26T06:00:00.000,20.7,55,19.259999999999998
25,2026-04-26T06:00:00.000,20.7,55,19.619999999999997
26,2026-04-26T06:00:00.000,20.7,55,19.979999999999997
27,2026-04-26T06:00:00.000,20.7,55,20.34
31,2026-04-26T07:00:00.000,22.6,45,21.080000000000002
28,2026-04-26T07:00:00.000,22.6,45,21.46
29,2026-04-26T07:00:00.000,22.6,45,21.839999999999996
30,2026-04-26T07:00:00.000,22.6,45,22.220000000000002
35,2026-04-26T08:00:00.000,24.3,34,22.94
34,2026-04-26T08:00:00.000,24.3,34,23.28
32,2026-04-26T08:00:00.000,24.3,34,23.62
33,2026-04-26T08:00:00.000,24.3,34,23.96
38,2026-04-26T09:00:00.000,25.1,30,24.46
36,2026-04-26T09:00:00.000,25.1,30,24.62
37,2026-04-26T09:00:00.000,25.1,30,24.78
39,2026-04-26T09:00:00.000,25.1,30,24.94
43,2026-04-26T10:00:00.000,26.2,26,25.32
42,2026-04-26T10:00:00.000,26.2,26,25.54
40,2026-04-26T10:00:00.000,26.2,26,25.76
41,2026-04-26T10:00:00.000,26.2,26,25.98
44,2026-04-26T11:00:00.000,27,23,26.360000000000003
45,2026-04-26T11:00:00.000,27,23,26.52
46,2026-04-26T11:00:00.000,27,23,26.68
47,2026-04-26T11:00:00.000,27,23,26.839999999999996
48,2026-04-26T12:00:00.000,27.3,23,27.060000000000002
49,2026-04-26T12:00:00.000,27.3,23,27.119999999999997
50,2026-04-26T12:00:00.000,27.4,22,27.2
51,2026-04-26T12:00:00.000,27.3,23,27.26
55,2026-04-26T13:00:00.000,27.3,22,27.32
54,2026-04-26T13:00:00.000,27.3,22,27.32
52,2026-04-26T13:00:00.000,27.4,22,27.339999999999996
53,2026-04-26T13:00:00.000,27.3,22,27.32
56,2026-04-26T14:00:00.000,26.9,22,27.24
57,2026-04-26T14:00:00.000,26.9,21,27.159999999999997
58,2026-04-26T14:00:00.000,26.9,22,27.079999999999995
59,2026-04-26T14:00:00.000,26.9,22,26.98
62,2026-04-26T15:00:00.000,26.4,25,26.8
63,2026-04-26T15:00:00.000,25.9,27,26.6
61,2026-04-26T15:00:00.000,25.9,27,26.4
60,2026-04-26T15:00:00.000,25.9,27,26.2
64,2026-04-26T16:00:00.000,24.8,33,25.779999999999994
65,2026-04-26T16:00:00.000,25.2,31,25.54
66,2026-04-26T16:00:00.000,24.8,33,25.32
67,2026-04-26T16:00:00.000,24.8,33,25.1
68,2026-04-26T17:00:00.000,24,35,24.72
69,2026-04-26T17:00:00.000,24,35,24.56
70,2026-04-26T17:00:00.000,24,35,24.32
71,2026-04-26T17:00:00.000,24.2,35,24.2
75,2026-04-26T18:00:00.000,23.3,37,23.9
72,2026-04-26T18:00:00.000,23.3,37,23.759999999999998
73,2026-04-26T18:00:00.000,23.3,37,23.619999999999997
74,2026-04-26T18:00:00.000,23.5,37,23.52
78,2026-04-26T19:00:00.000,23.1,39,23.3
79,2026-04-26T19:00:00.000,22.2,44,23.080000000000002
